username,user_id,tweet_id,timestamp,content,retweets,likes,replies,hashtags,mentions,url,verified
FundamentalFirst,411887,8455507749230347866,2025-09-23T00:50:05.050362,Pharma sector showing breakdown. WIPRO at key support/resistance. #pharma #technical,28,154,38,#pharma|#technical,,https://twitter.com/user/status/4628605214465629314,True
SwingTraderIN,726692,9225885186352529582,2025-09-23T00:50:03.875182,"Currency impact: USDINR at 82.80. IT exports benefiting? Watch HDFC, ICICI #forex #exports",55,611,4,#forex|#exports,,https://twitter.com/user/status/2339719604444423551,False
SwingTraderIN,356034,9643357339559297842,2025-09-23T00:49:30.780360,"Currency impact: USDINR at 82.80. IT exports under pressure? Watch HDFC, ICICI #forex #exports",94,504,74,#forex|#exports,,https://twitter.com/user/status/8269562073564035666,True
StockPicksDaily,850172,2306205455306838690,2025-09-23T00:49:20.451172,"FMCG index outperformed by 3.2%. Top picks: RELIANCE, ONGC #sectoral #investment",119,141,74,#sectoral|#investment,,https://twitter.com/user/status/3887333499114360177,False
MarketMoves,214372,9428010212091928258,2025-09-23T00:46:38.522494,"Pharma index gained by 1.8%. Top picks: HDFC, ICICI #sectoral #investment",33,105,80,#sectoral|#investment,,https://twitter.com/user/status/4735987445389654925,False
MarketWatch_IN,911829,7292968113882530278,2025-09-23T00:44:01.993805,Pharma sector showing reversal. ITC at key support/resistance. #pharma #technical,28,427,5,#pharma|#technical,,https://twitter.com/user/status/1681408331560214907,False
SwingTraderIN,213854,7318184437097537803,2025-09-23T00:43:54.837781,Small caps underperforming large caps this week. ITC up 2.5% #smallcaps #multibagger,108,426,41,#smallcaps|#multibagger,,https://twitter.com/user/status/9332169942053484593,True
MarketBuzz24,373839,3498037743005461432,2025-09-23T00:43:44.870224,"ITC breaking flag pattern! Target 3500, SL 3900. #intraday #stockpick",94,796,46,#intraday|#stockpick,,https://twitter.com/user/status/4941963060331924076,True
MarketMoves,271722,4069459796069671205,2025-09-23T00:43:12.084894,Sensex gained by 180 points today. Auto leading the decline. #sensex #stockmarket,84,521,79,#sensex|#stockmarket,,https://twitter.com/user/status/7131739565611142186,True
DayTradingTips,222699,2689708456464694048,2025-09-23T00:42:57.135324,FII buying worth ₹1200 crores in Banking today. Impact on HDFCBANK? #fii #markets,133,285,79,#fii|#markets,,https://twitter.com/user/status/5216323164047071251,False
TradingGuru123,307748,5519625596133898189,2025-09-23T00:42:48.650704,"ITC breaking resistance! Target 2800, SL 2650. #intraday #stockpick",67,684,20,#intraday|#stockpick,,https://twitter.com/user/status/8204758139218965628,True
FundamentalFirst,692661,4582858521186460294,2025-09-23T00:40:18.299826,"Currency impact: USDINR at 82.95. IT exports under pressure? Watch RELIANCE, ONGC #forex #exports",101,283,60,#forex|#exports,,https://twitter.com/user/status/8286535984909759124,True
TechnicalTrader,998441,7850435129316768804,2025-09-23T00:38:35.379873,FII holding worth ₹1200 crores in Banking today. Impact on SBI? #fii #markets,26,659,61,#fii|#markets,,https://twitter.com/user/status/2388780162143866133,True
StockAlerts,975488,2967286598625414248,2025-09-23T00:38:22.560423,Sensex surged by 320 points today. Energy leading the recovery. #sensex #stockmarket,9,545,78,#sensex|#stockmarket,,https://twitter.com/user/status/4022267971883350855,True
TechnicalTrader,616537,4464112367521969370,2025-09-23T00:37:20.889047,"INFY breaking support! Target 900, SL 2650. #intraday #stockpick",102,702,80,#intraday|#stockpick,,https://twitter.com/user/status/4241949503153677613,False
NiftyAnalyst,124164,5589605612212020122,2025-09-23T00:37:18.674264,"TCS breaking flag pattern! Target 1650, SL 2650. #intraday #stockpick",54,573,32,#intraday|#stockpick,,https://twitter.com/user/status/2343760288341166533,True
MarketWatch_IN,851087,7413808407129102903,2025-09-23T00:37:06.569305,Pharma sector showing reversal. RELIANCE at key support/resistance. #pharma #technical,34,727,69,#pharma|#technical,,https://twitter.com/user/status/1272065111667767131,True
MarketBuzz24,565242,1777860259582140260,2025-09-23T00:36:34.278727,Sensex closed flat by 180 points today. Pharma leading the rally. #sensex #stockmarket,90,193,69,#sensex|#stockmarket,,https://twitter.com/user/status/4128316903517532443,False
StockPicksDaily,856322,4709141799591526495,2025-09-23T00:35:10.470209,"WIPRO breaking triangle pattern! Target 3500, SL 3200. #intraday #stockpick",137,325,7,#intraday|#stockpick,,https://twitter.com/user/status/8076816781325320603,True
StockMarketExpert,397100,7703955183365991004,2025-09-23T00:34:59.145906,IT stocks steady ahead of earnings. HDFCBANK looks bullish. #itstocks #earnings,72,524,2,#itstocks|#earnings,,https://twitter.com/user/status/4613596280220393011,True
StockPicksDaily,667398,6666638219996993991,2025-09-23T00:33:55.063435,Small caps outperforming large caps this week. SBI up 2.5% #smallcaps #multibagger,76,588,26,#smallcaps|#multibagger,,https://twitter.com/user/status/1218989378187119819,False
SwingTraderIN,231714,2036788311782490312,2025-09-23T00:32:31.774673,FII buying worth ₹1800 crores in Banking today. Impact on WIPRO? #fii #markets,135,635,10,#fii|#markets,,https://twitter.com/user/status/8808149542001484171,False
MarketWatch_IN,946209,3652452831339606554,2025-09-23T00:31:54.073535,"Nifty 50 at 18750 levels, showing steady momentum. Good holding opportunity? #nifty50 #trading",134,14,69,#nifty50|#trading,,https://twitter.com/user/status/1739647490000290422,True
InvestmentAdvice,169293,4514771693686184345,2025-09-23T00:31:01.052544,"Nifty 50 at 18500 levels, showing strong bullish momentum. Good holding opportunity? #nifty50 #trading",142,189,16,#nifty50|#trading,,https://twitter.com/user/status/7718818652661718154,False
TechnicalTrader,440979,8401251190702380640,2025-09-23T00:29:31.120462,"HDFCBANK breaking flag pattern! Target 3500, SL 850. #intraday #stockpick",128,562,40,#intraday|#stockpick,,https://twitter.com/user/status/2953139120895574963,True
MarketMoves,841718,4338597301128824744,2025-09-23T00:29:09.364480,"Nifty 50 at 19000 levels, showing sideways momentum. Good selling opportunity? #nifty50 #trading",117,102,42,#nifty50|#trading,,https://twitter.com/user/status/4500778147209862499,False
TradingGuru123,932834,1746792998943506759,2025-09-23T00:28:59.889276,FII profit booking worth ₹1200 crores in Banking today. Impact on ITC? #fii #markets,41,316,24,#fii|#markets,,https://twitter.com/user/status/8026124107929900143,False
NiftyAnalyst,440557,1825591587780655322,2025-09-23T00:28:23.841544,Pharma sector showing continuation. SBI at key support/resistance. #pharma #technical,50,16,33,#pharma|#technical,,https://twitter.com/user/status/7683388536520085433,True
StockMarketExpert,214578,2475604958126250013,2025-09-23T00:28:18.410711,"INFY breaking flag pattern! Target 4200, SL 2650. #intraday #stockpick",80,351,67,#intraday|#stockpick,,https://twitter.com/user/status/1451456190516753666,False
DayTradingTips,408302,6739139320210809543,2025-09-23T00:28:08.362918,"RELIANCE breaking resistance! Target 3500, SL 3200. #intraday #stockpick",102,526,29,#intraday|#stockpick,,https://twitter.com/user/status/3412712862769813201,True
DayTradingTips,290617,7189145617922986379,2025-09-23T00:27:40.955792,"Nifty 50 at 19000 levels, showing bearish momentum. Good buying opportunity? #nifty50 #trading",51,49,11,#nifty50|#trading,,https://twitter.com/user/status/8267832706692478021,False
NiftyAnalyst,973713,3806699416140060825,2025-09-23T00:27:24.585961,FII selling worth ₹850 crores in Banking today. Impact on INFY? #fii #markets,127,640,49,#fii|#markets,,https://twitter.com/user/status/1747219648616764420,True
NiftyAnalyst,138670,4679566844788008632,2025-09-23T00:26:58.857635,FII holding worth ₹850 crores in IT today. Impact on ICICIBANK? #fii #markets,56,344,43,#fii|#markets,,https://twitter.com/user/status/3072008555746226826,True
TradingSetups,455799,4165074819217061776,2025-09-23T00:24:35.751535,Sensex fell by 180 points today. Energy leading the rally. #sensex #stockmarket,51,103,22,#sensex|#stockmarket,,https://twitter.com/user/status/4958410207486785069,True
EquityResearch,969827,8576196478045767524,2025-09-23T00:22:16.076833,Pharma sector showing continuation. RELIANCE at key support/resistance. #pharma #technical,33,415,23,#pharma|#technical,,https://twitter.com/user/status/3427711109762633881,False
MarketBuzz24,933128,2085949585182785399,2025-09-23T00:21:03.838664,"Nifty 50 at 19200 levels, showing bearish momentum. Good buying opportunity? #nifty50 #trading",149,376,40,#nifty50|#trading,,https://twitter.com/user/status/9080547554531303446,True
InvestmentAdvice,492662,1534236028882816720,2025-09-23T00:19:10.808888,Pharma sector showing breakout. SBI at key support/resistance. #pharma #technical,108,792,21,#pharma|#technical,,https://twitter.com/user/status/7393795621292432406,False
MarketMoves,237267,1673462108160667266,2025-09-23T00:16:38.294912,Bank Nifty testing 44500 resistance. Options traders watch for breakdown. #banknifty #options,56,590,46,#banknifty|#options,,https://twitter.com/user/status/5556335685715316428,False
StockAlerts,737995,2072676891262393108,2025-09-23T00:16:13.377195,Sensex surged by 150 points today. FMCG leading the rally. #sensex #stockmarket,99,682,68,#sensex|#stockmarket,,https://twitter.com/user/status/8684338567804849061,False
MarketBuzz24,694201,5935633146531223821,2025-09-23T00:15:39.941027,Bank Nifty testing 45500 resistance. Options traders watch for continuation. #banknifty #options,105,120,44,#banknifty|#options,,https://twitter.com/user/status/9829236994713099984,False
TradingGuru123,442841,6454089785463821837,2025-09-23T00:15:39.909142,IT stocks steady ahead of earnings. TCS looks neutral. #itstocks #earnings,135,594,52,#itstocks|#earnings,,https://twitter.com/user/status/6047206141099392718,False
InvestmentAdvice,590771,4527823219218817987,2025-09-23T00:14:28.714952,Small caps outperforming large caps this week. HDFCBANK up 4.1% #smallcaps #multibagger,76,96,21,#smallcaps|#multibagger,,https://twitter.com/user/status/7461009854563841738,True
StockMarketExpert,882557,5164424627846905484,2025-09-23T00:13:42.842519,IT stocks strong bullish ahead of earnings. SBI looks bearish. #itstocks #earnings,113,570,52,#itstocks|#earnings,,https://twitter.com/user/status/7029838754211101979,False
InvestmentAdvice,691334,3114255772432440961,2025-09-23T00:10:06.694947,Pharma sector showing breakdown. TCS at key support/resistance. #pharma #technical,86,658,75,#pharma|#technical,,https://twitter.com/user/status/4906545091657781373,False
TechnicalTrader,508563,8587472641002156706,2025-09-23T00:09:12.690182,Pharma sector showing reversal. SBI at key support/resistance. #pharma #technical,133,610,7,#pharma|#technical,,https://twitter.com/user/status/4081524156695022936,False
StockPicksDaily,153225,6065082006926424332,2025-09-23T00:08:24.745682,Sensex fell by 250 points today. Banking leading the recovery. #sensex #stockmarket,83,444,30,#sensex|#stockmarket,,https://twitter.com/user/status/3584543164986220584,False
TechnicalTrader,838884,2695596020565600352,2025-09-23T00:07:48.504810,"FMCG index declined by 0.9%. Top picks: HDFC, ICICI #sectoral #investment",51,201,15,#sectoral|#investment,,https://twitter.com/user/status/6191043258370934126,False
EquityResearch,305636,2950827905626957984,2025-09-23T00:07:02.495933,"IT index declined by 2.5%. Top picks: TCS, INFY #sectoral #investment",28,650,76,#sectoral|#investment,,https://twitter.com/user/status/9087143781575617314,False
StockMarketExpert,856882,8745899387528040151,2025-09-23T00:06:59.361240,"FMCG index declined by 3.2%. Top picks: HDFC, ICICI #sectoral #investment",15,404,67,#sectoral|#investment,,https://twitter.com/user/status/5341903705460564554,False
MarketBuzz24,356307,5429401119347414196,2025-09-23T00:06:28.264447,"SBI breaking flag pattern! Target 1650, SL 850. #intraday #stockpick",150,150,6,#intraday|#stockpick,,https://twitter.com/user/status/9593011758843434571,False
StockPicksDaily,245999,7884396196671727774,2025-09-23T00:06:00.366729,"Banking index outperformed by 3.2%. Top picks: RELIANCE, ONGC #sectoral #investment",91,436,80,#sectoral|#investment,,https://twitter.com/user/status/2663848511738391766,True
MarketMoves,942976,5222944480312025451,2025-09-23T00:04:57.740876,Sensex gained by 320 points today. IT leading the rally. #sensex #stockmarket,130,294,5,#sensex|#stockmarket,,https://twitter.com/user/status/7542999593447037169,True
TradingSetups,345148,3899074404509144377,2025-09-23T00:03:45.484121,IT stocks bearish ahead of earnings. INFY looks bullish. #itstocks #earnings,123,472,37,#itstocks|#earnings,,https://twitter.com/user/status/9471267839999833215,False
TradersPro,547815,1343804557824017399,2025-09-23T00:02:20.179208,FII holding worth ₹650 crores in Energy today. Impact on TCS? #fii #markets,130,252,3,#fii|#markets,,https://twitter.com/user/status/7455841881626418907,True
SwingTraderIN,439203,4999295545541092171,2025-09-23T00:00:42.570693,IT stocks steady ahead of earnings. SBI looks bearish. #itstocks #earnings,101,63,39,#itstocks|#earnings,,https://twitter.com/user/status/9196422269511670243,False
EquityResearch,506121,1105974308586495602,2025-09-23T00:00:29.020872,Sensex closed flat by 320 points today. Auto leading the decline. #sensex #stockmarket,4,18,5,#sensex|#stockmarket,,https://twitter.com/user/status/1648053370859336488,False
TradingSetups,784905,7482317723736446545,2025-09-22T23:59:07.638297,Sensex gained by 180 points today. Banking leading the recovery. #sensex #stockmarket,4,191,42,#sensex|#stockmarket,,https://twitter.com/user/status/4248855068137804156,True
EquityResearch,888290,8108740885959046286,2025-09-22T23:58:46.312632,"SBI breaking support! Target 2800, SL 2650. #intraday #stockpick",62,120,69,#intraday|#stockpick,,https://twitter.com/user/status/2536972000986935122,False
DayTradingTips,212450,2709199910459391421,2025-09-22T23:58:38.816452,"INFY breaking support! Target 3500, SL 1580. #intraday #stockpick",100,480,20,#intraday|#stockpick,,https://twitter.com/user/status/4563217236371101700,True
InvestmentAdvice,424253,6847954472364268782,2025-09-22T23:56:48.383791,"Pharma index declined by 4.1%. Top picks: RELIANCE, ONGC #sectoral #investment",77,427,35,#sectoral|#investment,,https://twitter.com/user/status/5148006055504891695,True
MarketBuzz24,355065,2340584492950631517,2025-09-22T23:56:00.786761,"Auto index declined by 0.9%. Top picks: TCS, INFY #sectoral #investment",17,733,69,#sectoral|#investment,,https://twitter.com/user/status/4236487910203809548,False
StockMarketExpert,941482,4570528216374600014,2025-09-22T23:55:38.989449,IT stocks bearish ahead of earnings. RELIANCE looks neutral. #itstocks #earnings,5,388,67,#itstocks|#earnings,,https://twitter.com/user/status/2344427890940793448,False
StockMarketExpert,550369,3798841505783923346,2025-09-22T23:55:02.320784,FII buying worth ₹650 crores in Banking today. Impact on SBI? #fii #markets,101,782,14,#fii|#markets,,https://twitter.com/user/status/5550901295635431735,False
TradingSetups,880714,4343057610549447049,2025-09-22T23:54:47.349454,"Nifty 50 at 19200 levels, showing steady momentum. Good holding opportunity? #nifty50 #trading",107,548,53,#nifty50|#trading,,https://twitter.com/user/status/7838029872473461351,True
MarketMoves,465755,7546897217861687079,2025-09-22T23:51:31.366702,FII buying worth ₹1800 crores in Auto today. Impact on ITC? #fii #markets,37,634,42,#fii|#markets,,https://twitter.com/user/status/7783057469569624549,True
MarketWatch_IN,265533,7644126052571043866,2025-09-22T23:49:54.285787,Sensex fell by 150 points today. Energy leading the rally. #sensex #stockmarket,2,81,71,#sensex|#stockmarket,,https://twitter.com/user/status/5639335516726010008,False
MarketBuzz24,701660,4832692540159793638,2025-09-22T23:48:42.507240,Sensex surged by 320 points today. Auto leading the recovery. #sensex #stockmarket,128,423,61,#sensex|#stockmarket,,https://twitter.com/user/status/3207341674020488530,False
SwingTraderIN,253325,5256391297188161952,2025-09-22T23:48:23.661697,"Energy index gained by 1.8%. Top picks: HDFC, ICICI #sectoral #investment",65,187,5,#sectoral|#investment,,https://twitter.com/user/status/3412098015416449604,True
MarketMoves,685728,5075490721716286251,2025-09-22T23:47:34.631782,"Nifty 50 at 18200 levels, showing bearish momentum. Good buying opportunity? #nifty50 #trading",12,610,3,#nifty50|#trading,,https://twitter.com/user/status/4265716079415857665,True
StockPicksDaily,638588,2878373547657218066,2025-09-22T23:46:14.953792,FII profit booking worth ₹1800 crores in Auto today. Impact on RELIANCE? #fii #markets,21,674,29,#fii|#markets,,https://twitter.com/user/status/7210931821963891442,False
StockMarketExpert,285377,5217539511051027460,2025-09-22T23:46:01.304211,"WIPRO breaking resistance! Target 3500, SL 3900. #intraday #stockpick",32,769,61,#intraday|#stockpick,,https://twitter.com/user/status/9408924110982864027,False
TradingGuru123,946078,2421999801969303599,2025-09-22T23:43:45.111605,IT stocks sideways ahead of earnings. ITC looks neutral. #itstocks #earnings,43,540,42,#itstocks|#earnings,,https://twitter.com/user/status/4682462694179223046,False
MarketBuzz24,242763,3625123297883887485,2025-09-22T23:41:53.896864,Small caps outperforming large caps this week. INFY up 1.8% #smallcaps #multibagger,79,450,53,#smallcaps|#multibagger,,https://twitter.com/user/status/2738264775555053057,False
FundamentalFirst,160292,8860526796670360036,2025-09-22T23:41:41.912799,"TCS breaking support! Target 2800, SL 850. #intraday #stockpick",108,402,43,#intraday|#stockpick,,https://twitter.com/user/status/2010521405324265724,False
TechnicalTrader,833785,5303063481751265444,2025-09-22T23:41:04.772549,"ICICIBANK breaking resistance! Target 1650, SL 850. #intraday #stockpick",102,245,10,#intraday|#stockpick,,https://twitter.com/user/status/3468754564072044153,False
StockPicksDaily,854569,7566277511905161117,2025-09-22T23:40:58.726972,Sensex fell by 150 points today. IT leading the decline. #sensex #stockmarket,64,286,24,#sensex|#stockmarket,,https://twitter.com/user/status/8664682055195208093,False
StockAlerts,400635,7813263526259104374,2025-09-22T23:40:11.071504,"Pharma index outperformed by 2.5%. Top picks: HDFC, ICICI #sectoral #investment",64,252,9,#sectoral|#investment,,https://twitter.com/user/status/6793227500927457127,False
EquityResearch,254541,2150329659526970564,2025-09-22T23:37:19.562271,IT stocks bearish ahead of earnings. ITC looks bullish. #itstocks #earnings,88,613,27,#itstocks|#earnings,,https://twitter.com/user/status/2150219043265848096,True
StockAlerts,162320,5699930256503531693,2025-09-22T23:36:08.772264,"FMCG index outperformed by 0.9%. Top picks: HDFC, ICICI #sectoral #investment",18,558,39,#sectoral|#investment,,https://twitter.com/user/status/7111501117660461842,False
MarketBuzz24,662633,9514540394535021897,2025-09-22T23:35:03.231550,Pharma sector showing breakdown. ITC at key support/resistance. #pharma #technical,72,350,48,#pharma|#technical,,https://twitter.com/user/status/6435775939484383481,False
TechnicalTrader,131834,4566890003269211509,2025-09-22T23:34:26.225098,Pharma sector showing breakout. WIPRO at key support/resistance. #pharma #technical,64,517,2,#pharma|#technical,,https://twitter.com/user/status/9548182165870976645,False
InvestmentAdvice,334865,1685524483034914793,2025-09-22T23:34:24.612008,"Banking index outperformed by 3.2%. Top picks: TCS, INFY #sectoral #investment",22,364,55,#sectoral|#investment,,https://twitter.com/user/status/7935738315049491942,True
TradersPro,496715,4266239854708269764,2025-09-22T23:32:49.595855,Small caps underperforming large caps this week. SBI up 3.2% #smallcaps #multibagger,58,193,53,#smallcaps|#multibagger,,https://twitter.com/user/status/5176269094885228926,False
TechnicalTrader,813910,9049225568978835029,2025-09-22T23:32:32.741070,"Nifty 50 at 18750 levels, showing bearish momentum. Good holding opportunity? #nifty50 #trading",45,125,44,#nifty50|#trading,,https://twitter.com/user/status/1934478289602889835,False
TradersPro,577436,1901224120566466517,2025-09-22T23:31:58.842110,"Banking index outperformed by 1.8%. Top picks: HDFC, ICICI #sectoral #investment",92,131,34,#sectoral|#investment,,https://twitter.com/user/status/5595417595039006516,True
TradingGuru123,478228,7163054491627654193,2025-09-22T23:31:33.512024,"WIPRO breaking flag pattern! Target 2800, SL 1580. #intraday #stockpick",129,705,51,#intraday|#stockpick,,https://twitter.com/user/status/3551257935573517859,False
FundamentalFirst,674904,4484433335177003470,2025-09-22T23:31:27.318599,"FMCG index declined by 1.8%. Top picks: RELIANCE, ONGC #sectoral #investment",101,783,56,#sectoral|#investment,,https://twitter.com/user/status/2153622097511057530,True
EquityResearch,407815,1123874870896549222,2025-09-22T23:24:40.104182,"Currency impact: USDINR at 83.25. IT exports benefiting? Watch TCS, INFY #forex #exports",16,440,11,#forex|#exports,,https://twitter.com/user/status/3246450216326143030,False
FundamentalFirst,353848,6614707981480235952,2025-09-22T23:23:35.652621,"IT index declined by 3.2%. Top picks: HDFC, ICICI #sectoral #investment",42,762,64,#sectoral|#investment,,https://twitter.com/user/status/2381770043161776420,True
InvestmentAdvice,141823,9749145581571266887,2025-09-22T23:22:02.208500,"Pharma index outperformed by 0.9%. Top picks: TCS, INFY #sectoral #investment",47,294,69,#sectoral|#investment,,https://twitter.com/user/status/8595704093108749123,False
MarketWatch_IN,601406,6651468794135219720,2025-09-22T23:21:31.279265,FII holding worth ₹850 crores in Energy today. Impact on TCS? #fii #markets,135,475,79,#fii|#markets,,https://twitter.com/user/status/5387526240717401272,True
TradingSetups,479124,9754147346715597825,2025-09-22T23:21:14.629178,IT stocks steady ahead of earnings. INFY looks bullish. #itstocks #earnings,63,124,77,#itstocks|#earnings,,https://twitter.com/user/status/5320601332014810825,True
MarketMoves,196514,4612688703884064921,2025-09-22T23:20:34.159813,Sensex gained by 320 points today. Auto leading the decline. #sensex #stockmarket,34,104,66,#sensex|#stockmarket,,https://twitter.com/user/status/4225606675667848110,True
MarketWatch_IN,845083,2521685304290872216,2025-09-22T23:18:23.565680,"IT index gained by 1.8%. Top picks: RELIANCE, ONGC #sectoral #investment",53,672,21,#sectoral|#investment,,https://twitter.com/user/status/2223832061967407000,True
StockPicksDaily,382220,2457095686534053788,2025-09-22T23:16:26.316376,"Nifty 50 at 18500 levels, showing sideways momentum. Good buying opportunity? #nifty50 #trading",63,573,66,#nifty50|#trading,,https://twitter.com/user/status/4562325669212935894,False
FundamentalFirst,150636,9313645892647150785,2025-09-22T23:15:02.721420,FII buying worth ₹1200 crores in Pharma today. Impact on INFY? #fii #markets,120,183,49,#fii|#markets,,https://twitter.com/user/status/3620034211637013041,True
